Running from this directory: /cluster/work/simennes/Project_thesis/Project_thesis
Name of job: tune_params
ID of job: 23134776
The job was run on these nodes: idun-07-07
[I 2025-10-17 13:09:10,215] Trial 0 finished with value: 0.12883757602187879 and parameters: {'hidden_dims': '[128, 64]', 'dropout': 0.199031432379812, 'batch_norm': True, 'lr': 1.8408544111075837e-06, 'weight_decay': 5.5136510071208614e-05, 'epochs': 336, 'loss': 'mae', 'optimizer': 'adam', 'graph_on': True, 'source': 'grm', 'knn_k': 9, 'weighted_edges': True, 'symmetrize_mode': 'union'}. Best is trial 0 with value: 0.12883757602187879.
[I 2025-10-17 17:38:17,758] Trial 127 finished with value: 0.10813977609449196 and parameters: {'hidden_dims': '[512, 64]', 'dropout': 0.3774231516498119, 'batch_norm': False, 'lr': 0.00018661536770260163, 'weight_decay': 0.0006601662173061521, 'epochs': 218, 'loss': 'mse', 'optimizer': 'adam', 'graph_on': True, 'source': 'grm', 'knn_k': 5, 'weighted_edges': True, 'symmetrize_mode': 'union'}. Best is trial 86 with value: 0.22737898635288964.
[I 2025-10-17 17:39:49,861] Trial 128 finished with value: 0.20046332788840732 and parameters: {'hidden_dims': '[256, 128]', 'dropout': 0.34857600577410425, 'batch_norm': False, 'lr': 0.00023792396210162793, 'weight_decay': 1.1792572718686632e-05, 'epochs': 229, 'loss': 'mse', 'optimizer': 'adam', 'graph_on': True, 'source': 'grm', 'knn_k': 6, 'weighted_edges': True, 'symmetrize_mode': 'union'}. Best is trial 86 with value: 0.22737898635288964.
[I 2025-10-17 17:41:24,643] Trial 129 finished with value: 0.19905379965553488 and parameters: {'hidden_dims': '[256, 128]', 'dropout': 0.3575976049105166, 'batch_norm': False, 'lr': 3.262707979293535e-05, 'weight_decay': 0.0001834813665822998, 'epochs': 237, 'loss': 'mse', 'optimizer': 'adam', 'graph_on': True, 'source': 'grm', 'knn_k': 4, 'weighted_edges': True, 'symmetrize_mode': 'union'}. Best is trial 86 with value: 0.22737898635288964.
[I 2025-10-17 17:42:59,776] Trial 130 finished with value: 0.12275046979504455 and parameters: {'hidden_dims': '[256, 128, 64]', 'dropout': 0.3706097102242017, 'batch_norm': True, 'lr': 8.611689616771332e-05, 'weight_decay': 0.0009837471291156156, 'epochs': 223, 'loss': 'mse', 'optimizer': 'adam', 'graph_on': True, 'source': 'grm', 'knn_k': 5, 'weighted_edges': True, 'symmetrize_mode': 'union'}. Best is trial 86 with value: 0.22737898635288964.
[I 2025-10-17 17:45:14,548] Trial 131 finished with value: 0.2168501495875628 and parameters: {'hidden_dims': '[256, 128]', 'dropout': 0.3265080028607538, 'batch_norm': False, 'lr': 0.00014800183685261155, 'weight_decay': 1.1323604146273005e-06, 'epochs': 344, 'loss': 'mse', 'optimizer': 'adam', 'graph_on': True, 'source': 'grm', 'knn_k': 6, 'weighted_edges': True, 'symmetrize_mode': 'union'}. Best is trial 86 with value: 0.22737898635288964.
[I 2025-10-17 17:47:26,572] Trial 132 finished with value: 0.204867181400306 and parameters: {'hidden_dims': '[256, 128]', 'dropout': 0.31534377312036377, 'batch_norm': False, 'lr': 0.00010447007998383075, 'weight_decay': 4.676542670053037e-06, 'epochs': 337, 'loss': 'mse', 'optimizer': 'adam', 'graph_on': True, 'source': 'grm', 'knn_k': 6, 'weighted_edges': True, 'symmetrize_mode': 'union'}. Best is trial 86 with value: 0.22737898635288964.
[I 2025-10-17 17:49:04,303] Trial 133 finished with value: 0.2081469978942825 and parameters: {'hidden_dims': '[256, 128]', 'dropout': 0.3373142385899122, 'batch_norm': False, 'lr': 0.00018059889128589442, 'weight_decay': 0.00025326314258269667, 'epochs': 247, 'loss': 'mse', 'optimizer': 'adam', 'graph_on': True, 'source': 'grm', 'knn_k': 5, 'weighted_edges': True, 'symmetrize_mode': 'union'}. Best is trial 86 with value: 0.22737898635288964.
[I 2025-10-17 17:51:09,234] Trial 134 finished with value: 0.21520519140041675 and parameters: {'hidden_dims': '[256, 128]', 'dropout': 0.32397834621638016, 'batch_norm': False, 'lr': 0.00021151934444203438, 'weight_decay': 2.0087051971066054e-05, 'epochs': 319, 'loss': 'mse', 'optimizer': 'adam', 'graph_on': True, 'source': 'grm', 'knn_k': 6, 'weighted_edges': True, 'symmetrize_mode': 'union'}. Best is trial 86 with value: 0.22737898635288964.
[I 2025-10-17 17:53:19,256] Trial 135 finished with value: 0.22237459211682684 and parameters: {'hidden_dims': '[256, 128]', 'dropout': 0.3097249508850152, 'batch_norm': False, 'lr': 0.00012565111664914063, 'weight_decay': 8.358601208421802e-07, 'epochs': 333, 'loss': 'mse', 'optimizer': 'adam', 'graph_on': True, 'source': 'grm', 'knn_k': 6, 'weighted_edges': True, 'symmetrize_mode': 'union'}. Best is trial 86 with value: 0.22737898635288964.
[I 2025-10-17 17:54:42,910] Trial 136 finished with value: 0.21249958092991011 and parameters: {'hidden_dims': '[256, 128]', 'dropout': 0.307837271837485, 'batch_norm': False, 'lr': 0.00015878260372161016, 'weight_decay': 3.486915493525128e-07, 'epochs': 208, 'loss': 'mse', 'optimizer': 'adam', 'graph_on': True, 'source': 'grm', 'knn_k': 6, 'weighted_edges': True, 'symmetrize_mode': 'union'}. Best is trial 86 with value: 0.22737898635288964.
[I 2025-10-17 17:56:02,212] Trial 137 finished with value: 0.18698647865752271 and parameters: {'hidden_dims': '[256, 128]', 'dropout': 0.38947258440903737, 'batch_norm': False, 'lr': 9.398439179670997e-05, 'weight_decay': 7.882713514666302e-07, 'epochs': 196, 'loss': 'mae', 'optimizer': 'adam', 'graph_on': True, 'source': 'grm', 'knn_k': 6, 'weighted_edges': True, 'symmetrize_mode': 'union'}. Best is trial 86 with value: 0.22737898635288964.
[I 2025-10-17 17:58:13,404] Trial 138 finished with value: 0.21146026120864228 and parameters: {'hidden_dims': '[256, 128]', 'dropout': 0.3408422398974466, 'batch_norm': False, 'lr': 0.00012866353750761976, 'weight_decay': 7.118677409019972e-07, 'epochs': 338, 'loss': 'mse', 'optimizer': 'adam', 'graph_on': True, 'source': 'grm', 'knn_k': 5, 'weighted_edges': True, 'symmetrize_mode': 'union'}. Best is trial 86 with value: 0.22737898635288964.
[I 2025-10-17 18:02:44,043] Trial 139 finished with value: 0.22107121868414742 and parameters: {'hidden_dims': '[512, 128]', 'dropout': 0.15621224794292066, 'batch_norm': False, 'lr': 1.572219402045613e-05, 'weight_decay': 1.7205680193332462e-07, 'epochs': 329, 'loss': 'mse', 'optimizer': 'adam', 'graph_on': True, 'source': 'grm', 'knn_k': 6, 'weighted_edges': True, 'symmetrize_mode': 'union'}. Best is trial 86 with value: 0.22737898635288964.
[I 2025-10-17 18:07:10,844] Trial 140 finished with value: 0.21987865611047386 and parameters: {'hidden_dims': '[512, 128]', 'dropout': 0.356558948162338, 'batch_norm': False, 'lr': 1.5173266415824687e-05, 'weight_decay': 2.652443848164955e-07, 'epochs': 325, 'loss': 'mse', 'optimizer': 'adam', 'graph_on': True, 'source': 'grm', 'knn_k': 5, 'weighted_edges': True, 'symmetrize_mode': 'union'}. Best is trial 86 with value: 0.22737898635288964.
[I 2025-10-17 18:11:37,589] Trial 141 finished with value: 0.21306927221627567 and parameters: {'hidden_dims': '[512, 128]', 'dropout': 0.35227287753294495, 'batch_norm': False, 'lr': 1.498335306797289e-05, 'weight_decay': 2.0592171459758482e-07, 'epochs': 325, 'loss': 'mse', 'optimizer': 'adam', 'graph_on': True, 'source': 'grm', 'knn_k': 5, 'weighted_edges': True, 'symmetrize_mode': 'union'}. Best is trial 86 with value: 0.22737898635288964.
[I 2025-10-17 18:16:06,818] Trial 142 finished with value: 0.21340912301399154 and parameters: {'hidden_dims': '[512, 128]', 'dropout': 0.3640997272293437, 'batch_norm': False, 'lr': 1.0147157056329147e-05, 'weight_decay': 1.6258672774216734e-07, 'epochs': 327, 'loss': 'mse', 'optimizer': 'adam', 'graph_on': True, 'source': 'grm', 'knn_k': 5, 'weighted_edges': True, 'symmetrize_mode': 'union'}. Best is trial 86 with value: 0.22737898635288964.
[I 2025-10-17 18:20:39,317] Trial 143 finished with value: 0.20518037002625783 and parameters: {'hidden_dims': '[512, 128]', 'dropout': 0.33305148584282057, 'batch_norm': False, 'lr': 1.6499410493378827e-05, 'weight_decay': 1.150024566694461e-07, 'epochs': 332, 'loss': 'mse', 'optimizer': 'adam', 'graph_on': True, 'source': 'grm', 'knn_k': 6, 'weighted_edges': True, 'symmetrize_mode': 'union'}. Best is trial 86 with value: 0.22737898635288964.
[I 2025-10-17 18:25:14,918] Trial 144 finished with value: 0.21283818426284093 and parameters: {'hidden_dims': '[512, 128]', 'dropout': 0.28319758417817736, 'batch_norm': False, 'lr': 2.0935928709771028e-05, 'weight_decay': 1.6378720536663716e-07, 'epochs': 338, 'loss': 'mse', 'optimizer': 'adam', 'graph_on': True, 'source': 'grm', 'knn_k': 5, 'weighted_edges': True, 'symmetrize_mode': 'union'}. Best is trial 86 with value: 0.22737898635288964.
[I 2025-10-17 18:29:27,870] Trial 145 finished with value: 0.21341270579077698 and parameters: {'hidden_dims': '[512, 128]', 'dropout': 0.34447069410034975, 'batch_norm': False, 'lr': 1.2713030314079468e-05, 'weight_decay': 1.0211688467540367e-07, 'epochs': 306, 'loss': 'mse', 'optimizer': 'adam', 'graph_on': True, 'source': 'grm', 'knn_k': 6, 'weighted_edges': True, 'symmetrize_mode': 'union'}. Best is trial 86 with value: 0.22737898635288964.
[I 2025-10-17 18:34:16,710] Trial 146 finished with value: 0.20885051634983667 and parameters: {'hidden_dims': '[512, 128]', 'dropout': 0.35462884804353545, 'batch_norm': False, 'lr': 2.6862158303579732e-05, 'weight_decay': 2.6589584675412004e-07, 'epochs': 350, 'loss': 'mse', 'optimizer': 'adam', 'graph_on': True, 'source': 'grm', 'knn_k': 10, 'weighted_edges': True, 'symmetrize_mode': 'union'}. Best is trial 86 with value: 0.22737898635288964.
[I 2025-10-17 18:38:37,738] Trial 147 finished with value: 0.2044508905116895 and parameters: {'hidden_dims': '[512, 128]', 'dropout': 0.37553813817836035, 'batch_norm': False, 'lr': 1.720341790103323e-05, 'weight_decay': 4.44320072568016e-07, 'epochs': 319, 'loss': 'mse', 'optimizer': 'adam', 'graph_on': True, 'source': 'grm', 'knn_k': 5, 'weighted_edges': True, 'symmetrize_mode': 'union'}. Best is trial 86 with value: 0.22737898635288964.
[I 2025-10-17 18:43:18,013] Trial 148 finished with value: 0.2062359079011592 and parameters: {'hidden_dims': '[512, 128]', 'dropout': 0.3156720261822061, 'batch_norm': False, 'lr': 9.62793077390394e-06, 'weight_decay': 1.5979715353965209e-07, 'epochs': 342, 'loss': 'mse', 'optimizer': 'adam', 'graph_on': True, 'source': 'grm', 'knn_k': 4, 'weighted_edges': True, 'symmetrize_mode': 'union'}. Best is trial 86 with value: 0.22737898635288964.
[I 2025-10-17 18:44:33,048] Trial 149 finished with value: 0.22146119217910518 and parameters: {'hidden_dims': '[128, 64]', 'dropout': 0.3300415834675342, 'batch_norm': False, 'lr': 7.981521454511162e-05, 'weight_decay': 2.1773303469486202e-07, 'epochs': 333, 'loss': 'mse', 'optimizer': 'adam', 'graph_on': True, 'source': 'grm', 'knn_k': 6, 'weighted_edges': True, 'symmetrize_mode': 'union'}. Best is trial 86 with value: 0.22737898635288964.
[I 2025-10-17 18:46:03,271] Trial 0 finished with value: 0.10198430010330344 and parameters: {'hidden_dims': '[128, 64]', 'dropout': 0.199031432379812, 'batch_norm': True, 'lr': 1.8408544111075837e-06, 'weight_decay': 5.5136510071208614e-05, 'epochs': 336, 'loss': 'mae', 'optimizer': 'adam', 'graph_on': True, 'source': 'grm', 'knn_k': 9, 'weighted_edges': True, 'symmetrize_mode': 'union'}. Best is trial 0 with value: 0.10198430010330344.
[I 2025-10-17 18:47:11,182] Trial 1 finished with value: 0.07098572078591568 and parameters: {'hidden_dims': '[128, 64]', 'dropout': 0.3170069966666469, 'batch_norm': True, 'lr': 8.93699563453483e-05, 'weight_decay': 2.536038332206416e-05, 'epochs': 290, 'loss': 'mae', 'optimizer': 'adam', 'graph_on': True, 'source': 'grm', 'knn_k': 4, 'weighted_edges': True, 'symmetrize_mode': 'union'}. Best is trial 0 with value: 0.10198430010330344.
[I 2025-10-17 18:48:34,387] Trial 2 finished with value: 0.13873035391949312 and parameters: {'hidden_dims': '[512, 64]', 'dropout': 0.275826319716044, 'batch_norm': True, 'lr': 0.0004485485309869717, 'weight_decay': 2.0046868950224612e-06, 'epochs': 91, 'loss': 'mse', 'optimizer': 'adam', 'graph_on': True, 'source': 'grm', 'knn_k': 9, 'weighted_edges': True, 'symmetrize_mode': 'union'}. Best is trial 2 with value: 0.13873035391949312.
[I 2025-10-17 18:49:35,676] Trial 3 finished with value: 0.09034218348900334 and parameters: {'hidden_dims': '[256, 128, 64]', 'dropout': 0.3951006814927115, 'batch_norm': False, 'lr': 1.7331624470191415e-06, 'weight_decay': 1.6666318356529153e-06, 'epochs': 142, 'loss': 'mse', 'optimizer': 'adam', 'graph_on': True, 'source': 'grm', 'knn_k': 5, 'weighted_edges': True, 'symmetrize_mode': 'mutual'}. Best is trial 2 with value: 0.13873035391949312.
[I 2025-10-17 18:50:04,873] Trial 4 finished with value: 0.08096127329582094 and parameters: {'hidden_dims': '[128, 64]', 'dropout': 0.39891832398148686, 'batch_norm': False, 'lr': 1.1917889272889587e-06, 'weight_decay': 1.6302351115057956e-06, 'epochs': 115, 'loss': 'mae', 'optimizer': 'adam', 'graph_on': True, 'source': 'grm', 'knn_k': 5, 'weighted_edges': False, 'symmetrize_mode': 'mutual'}. Best is trial 2 with value: 0.13873035391949312.
[I 2025-10-17 18:51:32,300] Trial 5 finished with value: 0.1047512606499587 and parameters: {'hidden_dims': '[256, 128]', 'dropout': 0.5269668752502432, 'batch_norm': False, 'lr': 0.00022174169137101815, 'weight_decay': 7.488782916686469e-05, 'epochs': 222, 'loss': 'mae', 'optimizer': 'adam', 'graph_on': True, 'source': 'grm', 'knn_k': 6, 'weighted_edges': True, 'symmetrize_mode': 'mutual'}. Best is trial 2 with value: 0.13873035391949312.
[I 2025-10-17 18:53:08,231] Trial 6 finished with value: 0.11063175453005977 and parameters: {'hidden_dims': '[256, 128, 64]', 'dropout': 0.20938467458976837, 'batch_norm': True, 'lr': 0.00017132065349580424, 'weight_decay': 7.570789545936101e-06, 'epochs': 226, 'loss': 'mae', 'optimizer': 'adam', 'graph_on': True, 'source': 'grm', 'knn_k': 7, 'weighted_edges': True, 'symmetrize_mode': 'mutual'}. Best is trial 2 with value: 0.13873035391949312.
[I 2025-10-17 18:56:08,052] Trial 7 finished with value: 0.18974574757327736 and parameters: {'hidden_dims': '[512, 256]', 'dropout': 0.5889496317010025, 'batch_norm': False, 'lr': 4.838069255103695e-05, 'weight_decay': 0.0003231029820065669, 'epochs': 221, 'loss': 'mse', 'optimizer': 'adam', 'graph_on': True, 'source': 'grm', 'knn_k': 5, 'weighted_edges': False, 'symmetrize_mode': 'mutual'}. Best is trial 7 with value: 0.18974574757327736.
[I 2025-10-17 18:57:23,211] Trial 8 finished with value: 0.07356889738201401 and parameters: {'hidden_dims': '[256, 128]', 'dropout': 0.19905032860813446, 'batch_norm': True, 'lr': 1.2962030165732244e-06, 'weight_decay': 1.326598071105465e-07, 'epochs': 180, 'loss': 'mse', 'optimizer': 'adam', 'graph_on': True, 'source': 'grm', 'knn_k': 4, 'weighted_edges': True, 'symmetrize_mode': 'union'}. Best is trial 7 with value: 0.18974574757327736.
[I 2025-10-17 18:57:48,140] Trial 9 finished with value: 0.15145732844212065 and parameters: {'hidden_dims': '[128, 64]', 'dropout': 0.18802106664184695, 'batch_norm': False, 'lr': 2.831800609272248e-05, 'weight_decay': 0.00023853009335908395, 'epochs': 94, 'loss': 'mae', 'optimizer': 'adam', 'graph_on': True, 'source': 'grm', 'knn_k': 8, 'weighted_edges': False, 'symmetrize_mode': 'union'}. Best is trial 7 with value: 0.18974574757327736.
[I 2025-10-17 18:58:34,594] Trial 10 finished with value: 0.09949206723949804 and parameters: {'hidden_dims': '[512, 256]', 'dropout': 0.5885461262002587, 'batch_norm': False, 'lr': 1.080428984628536e-05, 'weight_decay': 0.0005489772228037724, 'epochs': 48, 'loss': 'mse', 'optimizer': 'adam', 'graph_on': True, 'source': 'grm', 'knn_k': 1, 'weighted_edges': False, 'symmetrize_mode': 'mutual'}. Best is trial 7 with value: 0.18974574757327736.
[I 2025-10-17 19:02:20,180] Trial 11 finished with value: 0.18178966566738913 and parameters: {'hidden_dims': '[512, 256]', 'dropout': 0.10980382434199504, 'batch_norm': False, 'lr': 2.065554312960922e-05, 'weight_decay': 0.000991435534727732, 'epochs': 270, 'loss': 'mse', 'optimizer': 'adam', 'graph_on': True, 'source': 'grm', 'knn_k': 8, 'weighted_edges': False, 'symmetrize_mode': 'union'}. Best is trial 7 with value: 0.18974574757327736.
[I 2025-10-17 19:06:02,767] Trial 12 finished with value: 0.16749815556219658 and parameters: {'hidden_dims': '[512, 256]', 'dropout': 0.10131939749403998, 'batch_norm': False, 'lr': 1.4855294888750152e-05, 'weight_decay': 0.0008094686515639293, 'epochs': 272, 'loss': 'mse', 'optimizer': 'adam', 'graph_on': True, 'source': 'grm', 'knn_k': 1, 'weighted_edges': False, 'symmetrize_mode': 'union'}. Best is trial 7 with value: 0.18974574757327736.
[I 2025-10-17 19:09:43,686] Trial 13 finished with value: 0.1860805108613398 and parameters: {'hidden_dims': '[512, 128]', 'dropout': 0.4783059960385703, 'batch_norm': False, 'lr': 5.0263409807707696e-05, 'weight_decay': 0.00021970526440815599, 'epochs': 272, 'loss': 'mse', 'optimizer': 'adam', 'graph_on': True, 'source': 'grm', 'knn_k': 10, 'weighted_edges': False, 'symmetrize_mode': 'mutual'}. Best is trial 7 with value: 0.18974574757327736.
[I 2025-10-17 19:12:15,806] Trial 14 finished with value: 0.15422637199143255 and parameters: {'hidden_dims': '[512, 128]', 'dropout': 0.4946803909564139, 'batch_norm': False, 'lr': 7.497163703650452e-05, 'weight_decay': 0.00012692395047656633, 'epochs': 184, 'loss': 'mse', 'optimizer': 'adam', 'graph_on': True, 'source': 'grm', 'knn_k': 10, 'weighted_edges': False, 'symmetrize_mode': 'mutual'}. Best is trial 7 with value: 0.18974574757327736.
[I 2025-10-17 19:16:56,430] Trial 15 finished with value: 0.13940369845701944 and parameters: {'hidden_dims': '[512, 128]', 'dropout': 0.4740429507843431, 'batch_norm': False, 'lr': 5.32268453792454e-06, 'weight_decay': 0.0002561679361325285, 'epochs': 346, 'loss': 'mse', 'optimizer': 'adam', 'graph_on': True, 'source': 'grm', 'knn_k': 3, 'weighted_edges': False, 'symmetrize_mode': 'mutual'}. Best is trial 7 with value: 0.18974574757327736.
[I 2025-10-17 19:20:03,952] Trial 16 finished with value: -0.010623244799044902 and parameters: {'hidden_dims': '[512, 128]', 'dropout': 0.5988920758258058, 'batch_norm': False, 'lr': 0.00094645867610948, 'weight_decay': 2.6433031106307633e-05, 'epochs': 234, 'loss': 'mse', 'optimizer': 'adam', 'graph_on': True, 'source': 'grm', 'knn_k': 3, 'weighted_edges': False, 'symmetrize_mode': 'mutual'}. Best is trial 7 with value: 0.18974574757327736.
[I 2025-10-17 19:24:08,399] Trial 17 finished with value: 0.17908110701805013 and parameters: {'hidden_dims': '[512, 64]', 'dropout': 0.44479493022275746, 'batch_norm': False, 'lr': 5.593171031201334e-05, 'weight_decay': 9.23252384382178e-06, 'epochs': 305, 'loss': 'mse', 'optimizer': 'adam', 'graph_on': True, 'source': 'grm', 'knn_k': 6, 'weighted_edges': False, 'symmetrize_mode': 'mutual'}. Best is trial 7 with value: 0.18974574757327736.
[I 2025-10-17 19:27:32,664] Trial 18 finished with value: 0.17226732291495 and parameters: {'hidden_dims': '[512, 128]', 'dropout': 0.5379466677365785, 'batch_norm': False, 'lr': 7.169840572706466e-06, 'weight_decay': 0.0002459403382597376, 'epochs': 247, 'loss': 'mse', 'optimizer': 'adam', 'graph_on': True, 'source': 'grm', 'knn_k': 7, 'weighted_edges': False, 'symmetrize_mode': 'mutual'}. Best is trial 7 with value: 0.18974574757327736.
[I 2025-10-17 19:29:40,776] Trial 19 finished with value: 0.18088223492399813 and parameters: {'hidden_dims': '[512, 256]', 'dropout': 0.4216580613748776, 'batch_norm': False, 'lr': 4.343067647417885e-05, 'weight_decay': 1.338473561628645e-07, 'epochs': 152, 'loss': 'mse', 'optimizer': 'adam', 'graph_on': True, 'source': 'grm', 'knn_k': 10, 'weighted_edges': False, 'symmetrize_mode': 'mutual'}. Best is trial 7 with value: 0.18974574757327736.
[I 2025-10-17 19:32:24,302] Trial 20 finished with value: 0.18136989873514572 and parameters: {'hidden_dims': '[512, 256]', 'dropout': 0.529890883241848, 'batch_norm': False, 'lr': 0.00021980604763507914, 'weight_decay': 2.5179314518646425e-05, 'epochs': 203, 'loss': 'mse', 'optimizer': 'adam', 'graph_on': True, 'source': 'grm', 'knn_k': 2, 'weighted_edges': False, 'symmetrize_mode': 'mutual'}. Best is trial 7 with value: 0.18974574757327736.
[I 2025-10-17 19:36:06,038] Trial 21 finished with value: 0.1832014787353222 and parameters: {'hidden_dims': '[512, 256]', 'dropout': 0.33987971487808155, 'batch_norm': False, 'lr': 2.334161929869939e-05, 'weight_decay': 0.0007734048211332979, 'epochs': 265, 'loss': 'mse', 'optimizer': 'adam', 'graph_on': True, 'source': 'grm', 'knn_k': 9, 'weighted_edges': False, 'symmetrize_mode': 'union'}. Best is trial 7 with value: 0.18974574757327736.
[I 2025-10-17 19:40:28,175] Trial 22 finished with value: 0.19092750934501088 and parameters: {'hidden_dims': '[512, 256]', 'dropout': 0.32653265611815524, 'batch_norm': False, 'lr': 0.00010218624086086924, 'weight_decay': 0.0004211241392225777, 'epochs': 318, 'loss': 'mse', 'optimizer': 'adam', 'graph_on': True, 'source': 'grm', 'knn_k': 9, 'weighted_edges': False, 'symmetrize_mode': 'union'}. Best is trial 22 with value: 0.19092750934501088.
[I 2025-10-17 19:44:46,588] Trial 23 finished with value: 0.2217130400568498 and parameters: {'hidden_dims': '[512, 256]', 'dropout': 0.36288548617513655, 'batch_norm': False, 'lr': 0.00017134180602672284, 'weight_decay': 0.00015921600128793184, 'epochs': 312, 'loss': 'mse', 'optimizer': 'adam', 'graph_on': True, 'source': 'grm', 'knn_k': 10, 'weighted_edges': False, 'symmetrize_mode': 'union'}. Best is trial 23 with value: 0.2217130400568498.
[I 2025-10-17 19:49:06,749] Trial 24 finished with value: 0.1961162847337363 and parameters: {'hidden_dims': '[512, 256]', 'dropout': 0.2804031803170345, 'batch_norm': False, 'lr': 0.0001247643732683677, 'weight_decay': 9.372299848993048e-05, 'epochs': 317, 'loss': 'mse', 'optimizer': 'adam', 'graph_on': True, 'source': 'grm', 'knn_k': 8, 'weighted_edges': False, 'symmetrize_mode': 'union'}. Best is trial 23 with value: 0.2217130400568498.
[I 2025-10-17 19:53:30,767] Trial 25 finished with value: 0.18511641838098383 and parameters: {'hidden_dims': '[512, 256]', 'dropout': 0.2789410635852799, 'batch_norm': False, 'lr': 0.00012722392675749292, 'weight_decay': 9.2597741666241e-05, 'epochs': 322, 'loss': 'mse', 'optimizer': 'adam', 'graph_on': True, 'source': 'grm', 'knn_k': 8, 'weighted_edges': False, 'symmetrize_mode': 'union'}. Best is trial 23 with value: 0.2217130400568498.
[I 2025-10-17 19:57:46,431] Trial 26 finished with value: 0.11202142413514558 and parameters: {'hidden_dims': '[512, 256]', 'dropout': 0.2769554157843872, 'batch_norm': False, 'lr': 0.00044806209642233495, 'weight_decay': 4.5895346249831446e-05, 'epochs': 311, 'loss': 'mse', 'optimizer': 'adam', 'graph_on': True, 'source': 'grm', 'knn_k': 9, 'weighted_edges': False, 'symmetrize_mode': 'union'}. Best is trial 23 with value: 0.2217130400568498.
[I 2025-10-17 20:01:58,677] Trial 27 finished with value: 0.07297350028063695 and parameters: {'hidden_dims': '[512, 256]', 'dropout': 0.3639941319756391, 'batch_norm': True, 'lr': 0.0003770165999555815, 'weight_decay': 0.0001339575717894361, 'epochs': 298, 'loss': 'mse', 'optimizer': 'adam', 'graph_on': True, 'source': 'grm', 'knn_k': 7, 'weighted_edges': False, 'symmetrize_mode': 'union'}. Best is trial 23 with value: 0.2217130400568498.
[I 2025-10-17 20:06:31,348] Trial 28 finished with value: 0.201696156452256 and parameters: {'hidden_dims': '[512, 256]', 'dropout': 0.30466399254501153, 'batch_norm': False, 'lr': 0.00011238775048625812, 'weight_decay': 0.0003793397266699377, 'epochs': 330, 'loss': 'mse', 'optimizer': 'adam', 'graph_on': True, 'source': 'grm', 'knn_k': 10, 'weighted_edges': False, 'symmetrize_mode': 'union'}. Best is trial 23 with value: 0.2217130400568498.
[I 2025-10-17 20:08:55,084] Trial 29 finished with value: 0.08603438497961208 and parameters: {'hidden_dims': '[256, 128]', 'dropout': 0.25422028024932875, 'batch_norm': True, 'lr': 0.000978899574889811, 'weight_decay': 5.247265749802736e-05, 'epochs': 348, 'loss': 'mae', 'optimizer': 'adam', 'graph_on': True, 'source': 'grm', 'knn_k': 10, 'weighted_edges': False, 'symmetrize_mode': 'union'}. Best is trial 23 with value: 0.2217130400568498.
[I 2025-10-17 20:13:21,808] Trial 30 finished with value: 0.1589120895442796 and parameters: {'hidden_dims': '[512, 64]', 'dropout': 0.2388244580971868, 'batch_norm': False, 'lr': 0.0003476625980561035, 'weight_decay': 0.00013936854289565338, 'epochs': 329, 'loss': 'mse', 'optimizer': 'adam', 'graph_on': True, 'source': 'grm', 'knn_k': 8, 'weighted_edges': False, 'symmetrize_mode': 'union'}. Best is trial 23 with value: 0.2217130400568498.
[I 2025-10-17 20:17:51,246] Trial 31 finished with value: 0.18855120012946117 and parameters: {'hidden_dims': '[512, 256]', 'dropout': 0.31964771013001675, 'batch_norm': False, 'lr': 0.00011961502681237248, 'weight_decay': 0.00042376728882373264, 'epochs': 328, 'loss': 'mse', 'optimizer': 'adam', 'graph_on': True, 'source': 'grm', 'knn_k': 9, 'weighted_edges': False, 'symmetrize_mode': 'union'}. Best is trial 23 with value: 0.2217130400568498.
[I 2025-10-17 20:21:46,986] Trial 32 finished with value: 0.19975387126550376 and parameters: {'hidden_dims': '[512, 256]', 'dropout': 0.36276093481130356, 'batch_norm': False, 'lr': 9.459626079558471e-05, 'weight_decay': 0.00044820130198263325, 'epochs': 285, 'loss': 'mse', 'optimizer': 'adam', 'graph_on': True, 'source': 'grm', 'knn_k': 9, 'weighted_edges': False, 'symmetrize_mode': 'union'}. Best is trial 23 with value: 0.2217130400568498.
[I 2025-10-17 20:25:51,220] Trial 33 finished with value: 0.2147243031136411 and parameters: {'hidden_dims': '[512, 256]', 'dropout': 0.37914259600582756, 'batch_norm': False, 'lr': 0.00017573703401269514, 'weight_decay': 1.890282610975469e-05, 'epochs': 293, 'loss': 'mse', 'optimizer': 'adam', 'graph_on': True, 'source': 'grm', 'knn_k': 10, 'weighted_edges': False, 'symmetrize_mode': 'union'}. Best is trial 23 with value: 0.2217130400568498.
[I 2025-10-17 20:27:55,222] Trial 34 finished with value: 0.0874968617982864 and parameters: {'hidden_dims': '[256, 128, 64]', 'dropout': 0.3709839603566887, 'batch_norm': True, 'lr': 7.526059630594884e-05, 'weight_decay': 1.4978129154318652e-05, 'epochs': 289, 'loss': 'mse', 'optimizer': 'adam', 'graph_on': True, 'source': 'grm', 'knn_k': 10, 'weighted_edges': True, 'symmetrize_mode': 'union'}. Best is trial 23 with value: 0.2217130400568498.
